"Date","Price","Open","High","Low","Vol.","Change %"
"09-10-2014","7,399.00","7,399.00","7,399.00","7,399.00","","1.61%"
"08-10-2014","7,281.87","7,281.87","7,281.87","7,281.87","","-1.15%"
"07-10-2014","7,366.95","7,366.95","7,366.95","7,366.95","","-0.68%"
"01-10-2014","7,417.13","7,417.13","7,417.13","7,417.13","","-0.02%"
"30-09-2014","7,418.60","7,418.60","7,418.60","7,418.60","","0.44%"
"29-09-2014","7,386.42","7,386.42","7,386.42","7,386.42","","1.62%"
"26-09-2014","7,268.52","7,268.52","7,268.52","7,268.52","","0.80%"
"25-09-2014","7,210.92","7,210.92","7,210.92","7,210.92","","-1.40%"
"24-09-2014","7,313.40","7,313.40","7,313.40","7,313.40","","-1.48%"
"23-09-2014","7,423.39","7,423.39","7,423.39","7,423.39","","-2.21%"
"22-09-2014","7,591.51","7,591.51","7,591.51","7,591.51","","-0.60%"
"19-09-2014","7,637.49","7,637.49","7,637.49","7,637.49","","0.27%"
"18-09-2014","7,617.24","7,617.24","7,617.24","7,617.24","","2.00%"
"17-09-2014","7,467.59","7,467.59","7,467.59","7,467.59","","0.51%"
"16-09-2014","7,429.91","7,429.91","7,429.91","7,429.91","","-3.77%"
"15-09-2014","7,720.70","7,720.70","7,720.70","7,720.70","","-0.31%"
"12-09-2014","7,744.61","7,744.61","7,744.61","7,744.61","","0.70%"
"11-09-2014","7,690.91","7,690.91","7,690.91","7,690.91","","1.21%"
"10-09-2014","7,598.59","7,598.59","7,598.59","7,598.59","","0.21%"
"09-09-2014","7,582.77","7,582.77","7,582.77","7,582.77","","0.90%"
"08-09-2014","7,515.08","7,515.08","7,515.08","7,515.08","","1.54%"
"05-09-2014","7,401.35","7,401.35","7,401.35","7,401.35","","0.39%"
"04-09-2014","7,372.44","7,372.44","7,372.44","7,372.44","","1.11%"
"03-09-2014","7,291.50","7,291.50","7,291.50","7,291.50","","1.49%"
"02-09-2014","7,184.31","7,184.31","7,184.31","7,184.31","","1.54%"
"01-09-2014","7,075.29","7,075.29","7,075.29","7,075.29","","1.51%"
"28-08-2014","6,969.89","6,969.89","6,969.89","6,969.89","","0.10%"
"27-08-2014","6,963.09","6,963.09","6,963.09","6,963.09","","0.85%"
"26-08-2014","6,904.49","6,904.49","6,904.49","6,904.49","","0.25%"
"25-08-2014","6,887.36","6,887.36","6,887.36","6,887.36","","-0.14%"
"22-08-2014","6,897.01","6,897.01","6,897.01","6,897.01","","0.04%"
"21-08-2014","6,894.09","6,894.09","6,894.09","6,894.09","","0.14%"
"20-08-2014","6,884.32","6,884.32","6,884.32","6,884.32","","0.25%"
"19-08-2014","6,867.02","6,867.02","6,867.02","6,867.02","","1.21%"
"18-08-2014","6,785.16","6,785.16","6,785.16","6,785.16","","1.92%"
"14-08-2014","6,657.15","6,657.15","6,657.15","6,657.15","","0.92%"
"13-08-2014","6,596.40","6,596.40","6,596.40","6,596.40","","-1.56%"
"12-08-2014","6,700.75","6,700.75","6,700.75","6,700.75","","0.93%"
"11-08-2014","6,638.85","6,638.85","6,638.85","6,638.85","","1.32%"
"08-08-2014","6,552.64","6,552.64","6,552.64","6,552.64","","-1.73%"
"07-08-2014","6,668.07","6,668.07","6,668.07","6,668.07","","-0.38%"
"06-08-2014","6,693.84","6,693.84","6,693.84","6,693.84","","-0.42%"
"05-08-2014","6,721.79","6,721.79","6,721.79","6,721.79","","1.01%"
"04-08-2014","6,654.55","6,654.55","6,654.55","6,654.55","","1.79%"
"01-08-2014","6,537.60","6,537.60","6,537.60","6,537.60","","-0.92%"
"31-07-2014","6,598.60","6,598.60","6,598.60","6,598.60","","0.51%"
"30-07-2014","6,565.16","6,565.16","6,565.16","6,565.16","","0.41%"
"28-07-2014","6,538.27","6,538.27","6,538.27","6,538.27","","-0.16%"
"25-07-2014","6,548.63","6,548.63","6,548.63","6,548.63","","-1.11%"
"24-07-2014","6,621.95","6,621.95","6,621.95","6,621.95","","-0.50%"
"23-07-2014","6,655.04","6,655.04","6,655.04","6,655.04","","-0.05%"
"22-07-2014","6,658.47","6,658.47","6,658.47","6,658.47","","0.41%"
"21-07-2014","6,631.18","6,631.18","6,631.18","6,631.18","","0.42%"
"18-07-2014","6,603.44","6,603.44","6,603.44","6,603.44","","-0.12%"
"17-07-2014","6,611.52","6,611.52","6,611.52","6,611.52","","1.71%"
"16-07-2014","6,500.44","6,500.44","6,500.44","6,500.44","","1.56%"
"15-07-2014","6,400.55","6,400.55","6,400.55","6,400.55","","2.15%"
"14-07-2014","6,265.88","6,265.88","6,265.88","6,265.88","","0.13%"
"11-07-2014","6,257.92","6,257.92","6,257.92","6,257.92","","-1.27%"
"10-07-2014","6,338.37","6,338.37","6,338.37","6,338.37","","0.10%"
"09-07-2014","6,332.28","6,332.28","6,332.28","6,332.28","","-2.15%"
"08-07-2014","6,471.74","6,471.74","6,471.74","6,471.74","","-3.00%"
"07-07-2014","6,671.64","6,671.64","6,671.64","6,671.64","","0.24%"
"04-07-2014","6,655.64","6,655.64","6,655.64","6,655.64","","0.38%"
"03-07-2014","6,630.69","6,630.69","6,630.69","6,630.69","","0.78%"
"02-07-2014","6,579.18","6,579.18","6,579.18","6,579.18","","1.08%"
"01-07-2014","6,508.89","6,508.89","6,508.89","6,508.89","","0.57%"
"30-06-2014","6,472.11","6,472.11","6,472.11","6,472.11","","1.40%"
"27-06-2014","6,382.77","6,382.77","6,382.77","6,382.77","","1.24%"
"26-06-2014","6,304.49","6,304.49","6,304.49","6,304.49","","0.31%"
"25-06-2014","6,284.77","6,284.77","6,284.77","6,284.77","","-0.06%"
"24-06-2014","6,288.63","6,288.63","6,288.63","6,288.63","","1.12%"
"23-06-2014","6,218.91","6,218.91","6,218.91","6,218.91","","0.61%"
"20-06-2014","6,181.22","6,181.22","6,181.22","6,181.22","","0.09%"
"19-06-2014","6,175.76","6,175.76","6,175.76","6,175.76","","0.20%"
"18-06-2014","6,163.39","6,163.39","6,163.39","6,163.39","","-0.40%"
"17-06-2014","6,188.22","6,188.22","6,188.22","6,188.22","","1.11%"
"16-06-2014","6,120.16","6,120.16","6,120.16","6,120.16","","1.02%"
"13-06-2014","6,058.35","6,058.35","6,058.35","6,058.35","","-0.93%"
"12-06-2014","6,114.99","6,114.99","6,114.99","6,114.99","","0.81%"
"11-06-2014","6,065.76","6,065.76","6,065.76","6,065.76","","0.10%"
"10-06-2014","6,059.77","6,059.77","6,059.77","6,059.77","","0.13%"
"09-06-2014","6,051.78","6,051.78","6,051.78","6,051.78","","0.92%"
"06-06-2014","5,996.65","5,996.65","5,996.65","5,996.65","","1.54%"
"05-06-2014","5,905.48","5,905.48","5,905.48","5,905.48","","1.08%"
"04-06-2014","5,842.53","5,842.53","5,842.53","5,842.53","","0.31%"
"03-06-2014","5,824.69","5,824.69","5,824.69","5,824.69","","0.70%"
"02-06-2014","5,784.02","5,784.02","5,784.02","5,784.02","","1.32%"
"30-05-2014","5,708.75","5,708.75","5,708.75","5,708.75","","0.95%"
"29-05-2014","5,654.78","5,654.78","5,654.78","5,654.78","","-0.43%"
"28-05-2014","5,678.93","5,678.93","5,678.93","5,678.93","","0.38%"
"27-05-2014","5,657.69","5,657.69","5,657.69","5,657.69","","0.70%"
"26-05-2014","5,618.50","5,618.50","5,618.50","5,618.50","","-1.52%"
"23-05-2014","5,705.47","5,705.47","5,705.47","5,705.47","","1.01%"
"22-05-2014","5,648.38","5,648.38","5,648.38","5,648.38","","1.25%"
"21-05-2014","5,578.75","5,578.75","5,578.75","5,578.75","","1.68%"
"20-05-2014","5,486.59","5,486.59","5,486.59","5,486.59","","1.53%"
