"Date","Price","Open","High","Low","Vol.","Change %"
"26-12-2022","173.73","174.37","174.44","172.36","50.17K","0.80%"
"23-12-2022","172.35","176.97","176.97","171.85","75.94K","-1.84%"
"22-12-2022","175.58","176.55","176.97","174.93","50.50K","-0.27%"
"21-12-2022","176.06","179.37","179.37","175.80","3.04K","-0.73%"
"20-12-2022","177.36","177.31","177.50","176.02","68.45K","-0.20%"
"19-12-2022","177.71","178.27","178.27","174.93","48.50K","0.77%"
"16-12-2022","176.36","177.83","177.84","175.50","31.25K","-0.83%"
"15-12-2022","177.84","180.07","180.07","177.41","4.44K","-1.01%"
"14-12-2022","179.66","180.10","180.49","179.33","35.33K","-0.24%"
"13-12-2022","180.10","185.00","185.00","178.75","23.83K","0.54%"
"12-12-2022","179.13","180.45","180.45","178.64","65.22K","-0.08%"
"09-12-2022","179.27","180.24","180.57","178.72","11.25K","-0.54%"
"08-12-2022","180.25","181.94","181.94","179.01","87.50K","-0.09%"
"07-12-2022","180.42","174.99","181.00","174.99","43.29K","0.27%"
"06-12-2022","179.93","182.74","182.74","179.33","3.69K","-0.08%"
"05-12-2022","180.07","183.97","183.97","178.16","5.43K","-0.41%"
"02-12-2022","180.82","182.44","182.44","180.00","27.92K","-0.46%"
"01-12-2022","181.66","182.47","182.47","178.37","13.99K","0.36%"
"30-11-2022","181.01","178.17","181.84","178.16","27.94K","0.55%"
"29-11-2022","180.02","176.24","180.06","176.24","50.26K","1.26%"
"28-11-2022","177.78","178.94","178.94","176.24","49.68K","0.49%"
"25-11-2022","176.92","179.95","179.95","176.20","27.44K","-0.15%"
"24-11-2022","177.18","177.77","178.00","175.87","111.56K","0.93%"
"23-11-2022","175.54","177.99","177.99","174.00","23.33K","-0.35%"
"22-11-2022","176.16","176.95","176.95","161.01","32.76K","0.85%"
"21-11-2022","174.67","176.24","177.77","173.04","10.93K","-0.67%"
"18-11-2022","175.84","178.87","178.87","175.00","21.85K","-0.37%"
"17-11-2022","176.50","178.77","178.77","175.99","36.14K","-0.21%"
"16-11-2022","176.88","175.10","179.19","175.10","14.03K","-0.28%"
"15-11-2022","177.38","178.95","178.95","176.75","19.37K","0.14%"
"14-11-2022","177.13","186.84","186.84","176.81","32.76K","-0.25%"
"11-11-2022","177.57","179.59","179.59","177.01","70.51K","0.67%"
"10-11-2022","176.38","178.99","178.99","175.27","38.75K","-0.92%"
"09-11-2022","178.01","180.59","180.59","177.18","9.82K","-0.53%"
"07-11-2022","178.95","184.54","184.54","177.44","34.82K","0.49%"
"04-11-2022","178.07","179.99","179.99","176.05","19.97K","-0.11%"
"03-11-2022","178.27","178.00","179.88","177.01","152.97K","-0.06%"
"02-11-2022","178.37","181.39","181.39","178.00","35.46K","-0.67%"
"01-11-2022","179.58","184.84","184.84","177.33","30.38K","1.00%"
"31-10-2022","177.81","179.59","179.59","173.04","352.04K","1.45%"
"28-10-2022","175.27","174.01","176.89","174.01","39.52K","-0.11%"
"27-10-2022","175.47","183.70","183.70","174.00","228.95K","0.30%"
"25-10-2022","174.94","176.57","176.57","174.51","3.79K","-1.02%"
"24-10-2022","176.75","176.29","181.75","174.01","9.50K","1.82%"
"21-10-2022","173.59","174.87","175.64","173.01","9.99K","-0.29%"
"20-10-2022","174.10","171.16","174.98","171.16","37.31K","0.28%"
"19-10-2022","173.61","173.51","173.90","173.10","71.88K","-0.03%"
"18-10-2022","173.66","173.97","173.97","172.00","3.28K","1.18%"
"17-10-2022","171.64","172.47","172.47","169.81","21.35K","0.45%"
"14-10-2022","170.87","172.97","172.98","170.50","5.45K","0.44%"
"13-10-2022","170.12","172.76","172.76","169.06","27.97K","-0.63%"
"12-10-2022","171.19","171.37","171.37","168.81","81.81K","1.04%"
"11-10-2022","169.42","173.97","173.97","169.01","62.84K","-1.61%"
"10-10-2022","172.20","174.46","174.46","171.50","55.97K","-0.95%"
"07-10-2022","173.85","175.37","175.37","172.33","14.75K","0.22%"
"06-10-2022","173.46","174.97","174.97","171.51","38.96K","0.54%"
"04-10-2022","172.52","170.90","173.97","170.90","2.25K","0.95%"
"03-10-2022","170.90","172.14","172.99","170.25","23.04K","-0.73%"
"30-09-2022","172.15","172.97","173.29","169.91","249.39K","0.48%"
"29-09-2022","171.32","173.77","173.77","170.02","8.97K","0.29%"
"28-09-2022","170.83","171.96","171.96","169.88","92.35K","-0.08%"
"27-09-2022","170.97","172.67","172.67","169.77","35.25K","0.13%"
"26-09-2022","170.75","173.78","173.78","170.00","35.41K","-1.24%"
"23-09-2022","172.90","176.47","176.47","172.50","102.95K","-1.04%"
"22-09-2022","174.72","175.97","175.97","173.55","126.46K","0.11%"
"21-09-2022","174.53","175.54","176.30","173.67","128.42K","-0.58%"
"20-09-2022","175.55","175.97","176.30","172.24","26.19K","1.23%"
"19-09-2022","173.41","171.65","173.97","170.80","25.82K","0.76%"
"16-09-2022","172.11","177.48","177.48","171.65","49.23K","-2.24%"
"15-09-2022","176.05","178.47","178.47","175.32","17.61K","-0.25%"
"14-09-2022","176.50","183.75","183.75","172.86","36.64K","0.07%"
"13-09-2022","176.38","176.97","176.97","174.17","27.93K","0.77%"
"12-09-2022","175.04","174.84","175.60","172.23","75.16K","0.71%"
"09-09-2022","173.80","176.86","176.86","173.02","51.72K","0.01%"
"08-09-2022","173.79","174.98","176.90","172.60","36.98K","0.19%"
"07-09-2022","173.46","173.98","173.98","172.52","127.25K","0.17%"
"06-09-2022","173.17","175.30","175.30","170.40","31.49K","0.17%"
"05-09-2022","172.87","175.30","175.30","171.88","32.44K","0.55%"
"02-09-2022","171.92","173.98","173.98","171.80","88.14K","-0.18%"
"01-09-2022","172.23","173.49","173.49","171.94","33.52K","-0.36%"
"30-08-2022","172.86","177.70","177.70","169.28","29.82K","2.10%"
"29-08-2022","169.31","168.61","170.18","167.31","44.76K","-0.52%"
"26-08-2022","170.19","177.85","177.85","170.00","83.72K","0.29%"
