"Date","Price","Open","High","Low","Vol.","Change %"
"19-05-2021","10,249.10","10,231.85","10,303.00","10,179.45","183.71M","-0.73%"
"18-05-2021","10,324.00","10,102.40","10,344.50","10,070.25","178.05M","3.22%"
"17-05-2021","10,001.70","9,844.15","10,037.80","9,785.90","111.29M","1.95%"
"14-05-2021","9,810.45","10,059.20","10,061.50","9,777.50","122.80M","-2.03%"
"12-05-2021","10,013.65","9,992.00","10,066.80","9,913.50","159.80M","0.19%"
"11-05-2021","9,995.10","9,874.90","10,029.85","9,852.20","102.89M","0.22%"
"10-05-2021","9,973.05","9,856.65","9,984.80","9,834.50","98.66M","1.56%"
"07-05-2021","9,819.45","9,858.35","9,907.45","9,767.00","80.12M","0.04%"
"06-05-2021","9,815.10","9,669.20","9,826.55","9,664.30","96.77M","1.78%"
"05-05-2021","9,643.05","9,631.05","9,662.10","9,547.75","66.46M","0.68%"
"04-05-2021","9,577.70","9,728.45","9,758.70","9,541.20","84.57M","-0.88%"
"03-05-2021","9,662.95","9,539.55","9,715.90","9,485.50","84.17M","0.23%"
"30-04-2021","9,640.85","9,701.30","9,780.35","9,619.00","87.89M","-1.36%"
"29-04-2021","9,773.70","9,959.20","9,985.00","9,754.00","95.40M","-0.99%"
"28-04-2021","9,871.50","9,781.50","9,968.40","9,758.15","144.65M","1.68%"
"27-04-2021","9,708.20","9,662.30","9,733.80","9,653.90","79.79M","0.69%"
"26-04-2021","9,641.45","9,630.20","9,713.10","9,612.70","69.63M","0.46%"
"23-04-2021","9,596.95","9,569.25","9,695.90","9,534.90","117.32M","-0.49%"
"22-04-2021","9,644.55","9,529.30","9,665.95","9,503.80","117.26M","0.14%"
"20-04-2021","9,630.70","9,683.95","9,738.10","9,539.70","115.38M","1.03%"
"19-04-2021","9,532.15","9,476.65","9,562.95","9,395.25","127.13M","-2.82%"
"16-04-2021","9,808.95","9,691.30","9,926.45","9,679.50","123.53M","1.21%"
"15-04-2021","9,691.45","9,787.85","9,817.00","9,558.70","124.80M","-1.29%"
"13-04-2021","9,818.30","9,438.20","9,845.50","9,406.40","182.41M","4.28%"
"12-04-2021","9,415.65","9,738.35","9,738.35","9,345.20","171.31M","-5.11%"
"09-04-2021","9,922.95","9,961.55","10,032.85","9,885.60","124.22M","-0.37%"
"08-04-2021","9,959.35","9,992.30","10,083.30","9,933.10","144.00M","0.22%"
"07-04-2021","9,937.00","9,790.00","9,950.55","9,761.15","83.65M","1.59%"
"06-04-2021","9,781.35","9,836.85","9,881.20","9,755.10","98.28M","0.14%"
"05-04-2021","9,768.05","9,988.10","9,991.30","9,688.40","115.41M","-2.54%"
"01-04-2021","10,022.60","9,967.85","10,044.60","9,889.70","93.98M","1.62%"
"31-03-2021","9,862.45","9,866.00","9,946.95","9,812.25","98.70M","-0.03%"
"30-03-2021","9,865.00","9,835.85","9,885.95","9,749.35","94.64M","0.96%"
"26-03-2021","9,771.50","9,766.40","9,853.85","9,749.40","132.88M","1.24%"
"25-03-2021","9,651.35","9,916.60","9,924.35","9,605.05","167.02M","-2.76%"
