"Date","Price","Open","High","Low","Vol.","Change %"
"28-05-2021","7,200.00","7,219.90","7,232.55","7,180.00","770.93M","0.35%"
"27-05-2021","7,174.60","7,138.60","7,192.35","7,100.15","932.94M","0.71%"
"26-05-2021","7,124.35","7,159.10","7,180.05","7,119.55","673.78M","-0.11%"
"25-05-2021","7,132.50","7,193.00","7,208.25","7,111.55","800.45M","-0.27%"
"24-05-2021","7,151.65","7,123.05","7,182.40","7,070.65","730.33M","0.83%"
"21-05-2021","7,093.00","7,082.70","7,110.15","7,053.65","663.69M","0.95%"
"20-05-2021","7,026.50","7,053.30","7,069.95","6,974.00","808.12M","-0.29%"
"19-05-2021","7,046.60","7,042.50","7,094.90","7,027.00","636.93M","-0.05%"
"18-05-2021","7,050.00","6,988.50","7,076.05","6,981.95","768.87M","2.00%"
"17-05-2021","6,911.70","6,833.65","6,924.90","6,766.45","769.21M","1.87%"
"14-05-2021","6,785.10","6,957.55","6,960.30","6,731.45","1.00B","-1.74%"
"12-05-2021","6,905.10","7,008.55","7,028.40","6,865.55","1.36B","-1.11%"
"11-05-2021","6,982.70","6,859.35","7,001.40","6,826.05","1.16B","0.93%"
"10-05-2021","6,918.10","6,868.75","6,932.40","6,849.50","1.01B","1.46%"
"07-05-2021","6,818.65","6,857.45","6,866.35","6,795.95","779.64M","-0.18%"
"06-05-2021","6,830.70","6,781.00","6,839.10","6,735.35","662.21M","1.27%"
"05-05-2021","6,745.20","6,748.00","6,760.70","6,681.60","648.12M","0.89%"
"04-05-2021","6,685.85","6,742.65","6,823.40","6,668.50","969.12M","-0.03%"
"03-05-2021","6,687.55","6,657.25","6,698.85","6,604.30","757.65M","-0.56%"
"30-04-2021","6,725.20","6,710.95","6,821.50","6,677.15","853.76M","-0.60%"
"29-04-2021","6,765.50","6,825.50","6,852.25","6,728.50","767.35M","-0.12%"
"28-04-2021","6,773.55","6,702.50","6,785.10","6,690.60","592.93M","1.71%"
"27-04-2021","6,659.90","6,588.70","6,670.60","6,581.00","563.19M","1.44%"
"26-04-2021","6,565.05","6,549.35","6,581.85","6,536.35","568.30M","0.80%"
"23-04-2021","6,512.90","6,503.25","6,583.80","6,462.25","525.79M","0.09%"
"22-04-2021","6,506.95","6,413.50","6,514.05","6,398.50","560.91M","0.58%"
"20-04-2021","6,469.25","6,520.60","6,576.05","6,417.10","512.05M","0.43%"
"19-04-2021","6,441.70","6,413.65","6,455.65","6,325.05","640.88M","-2.60%"
"16-04-2021","6,613.55","6,574.85","6,664.60","6,552.20","486.41M","0.78%"
"15-04-2021","6,562.60","6,566.75","6,620.30","6,452.55","694.78M","-0.53%"
"13-04-2021","6,597.55","6,454.60","6,611.75","6,423.20","707.96M","2.80%"
"12-04-2021","6,417.65","6,765.20","6,769.05","6,364.70","1.05B","-7.08%"
"09-04-2021","6,906.70","6,946.75","6,987.30","6,880.90","597.84M","-0.51%"
"08-04-2021","6,941.80","6,944.30","7,007.35","6,916.50","782.04M","0.48%"
"07-04-2021","6,908.60","6,833.15","6,932.55","6,814.00","613.73M","1.35%"
"06-04-2021","6,816.40","6,807.25","6,855.45","6,732.90","719.33M","0.72%"
"05-04-2021","6,767.70","6,905.95","6,906.05","6,654.25","758.69M","-2.16%"
"01-04-2021","6,917.35","6,832.05","6,930.25","6,789.40","743.06M","2.14%"
"31-03-2021","6,772.10","6,766.55","6,802.35","6,732.45","640.57M","0.15%"
