"Date","Price","Open","High","Low","Change %"
"09-04-2020","4.914","5.081","5.164","4.914","-0.36%"
"08-04-2020","4.932","5.181","5.181","4.932","0.12%"
"07-04-2020","4.926","4.992","4.992","4.926","-0.10%"
"03-04-2020","4.931","5.079","5.079","4.931","-2.20%"
"31-03-2020","5.042","5.096","5.096","4.960","-3.48%"
"30-03-2020","5.224","5.224","5.224","5.224","3.90%"
"27-03-2020","5.028","5.028","5.028","5.028","-5.36%"
"26-03-2020","5.313","5.286","5.442","5.286","-0.58%"
"24-03-2020","5.344","5.399","5.399","5.344","-0.15%"
"23-03-2020","5.352","5.379","5.598","5.352","0.43%"
"20-03-2020","5.329","5.329","5.329","5.329","-0.22%"
"19-03-2020","5.341","5.422","5.422","5.341","0.95%"
"18-03-2020","5.291","5.372","5.399","5.291","-0.58%"
"17-03-2020","5.322","5.349","5.376","5.322","0.95%"
"16-03-2020","5.272","5.353","5.353","5.272","-0.58%"
"13-03-2020","5.303","5.357","5.410","5.303","-0.02%"
"12-03-2020","5.304","5.261","5.304","5.261","1.98%"
"11-03-2020","5.201","5.254","5.319","5.201","0.76%"
"09-03-2020","5.162","5.189","5.189","5.147","-1.68%"
"06-03-2020","5.250","5.250","5.330","5.250","-0.74%"
"05-03-2020","5.289","5.289","5.305","5.273","0.94%"
"04-03-2020","5.240","5.372","5.372","5.240","-3.20%"
"03-03-2020","5.413","5.472","5.472","5.413","-0.28%"
"02-03-2020","5.428","5.502","5.502","5.428","-1.13%"
"28-02-2020","5.490","5.569","5.569","5.490","0.51%"
"27-02-2020","5.462","5.499","5.531","5.457","-0.16%"
"26-02-2020","5.471","5.482","5.503","5.469","-0.45%"
"25-02-2020","5.496","5.506","5.512","5.496","-0.05%"
"24-02-2020","5.499","5.541","5.541","5.499","-0.58%"
"20-02-2020","5.531","5.563","5.563","5.531","-0.36%"
"18-02-2020","5.551","5.603","5.603","5.551","0.14%"
"17-02-2020","5.543","5.559","5.600","5.543","-0.34%"
"14-02-2020","5.562","5.573","5.583","5.560","-0.11%"
"13-02-2020","5.568","5.594","5.594","5.568","-0.23%"
"12-02-2020","5.581","5.695","5.695","5.576","-0.16%"
"11-02-2020","5.590","5.605","5.605","5.580","0.13%"
"10-02-2020","5.583","5.609","5.609","5.583","-0.52%"
"07-02-2020","5.612","5.596","5.637","5.596","-0.99%"
"06-02-2020","5.668","5.801","5.801","5.668","-2.01%"
"05-02-2020","5.784","5.825","5.830","5.784","-0.31%"
"04-02-2020","5.802","5.828","5.828","5.797","-3.15%"
"03-02-2020","5.991","5.852","5.991","5.831","5.64%"
"31-01-2020","5.671","5.780","5.780","5.664","-0.07%"
"30-01-2020","5.675","5.711","5.711","5.675","-0.05%"
"29-01-2020","5.678","5.685","5.685","5.678","-0.02%"
"28-01-2020","5.679","5.701","5.708","5.679","0.11%"
"27-01-2020","5.673","5.732","5.732","5.673","-0.53%"
"24-01-2020","5.703","5.739","5.739","5.703","-0.68%"
"23-01-2020","5.742","5.756","5.778","5.739","-0.14%"
"22-01-2020","5.750","5.779","5.779","5.743","-0.16%"
"21-01-2020","5.759","5.759","5.780","5.751","0.24%"
"20-01-2020","5.745","5.781","5.817","5.745","-0.03%"
"17-01-2020","5.747","5.817","5.817","5.747","0.70%"
"16-01-2020","5.707","5.743","5.743","5.707","-0.02%"
"15-01-2020","5.708","5.730","5.730","5.708","-0.04%"
"14-01-2020","5.710","5.780","5.780","5.710","0.37%"
"13-01-2020","5.689","5.718","5.732","5.689","-0.02%"
"10-01-2020","5.690","5.753","5.753","5.690","-0.05%"
"09-01-2020","5.693","5.755","5.755","5.693","-0.61%"
"08-01-2020","5.728","5.791","5.791","5.728","-0.26%"
"07-01-2020","5.743","5.778","5.778","5.743","-0.61%"
"06-01-2020","5.778","5.785","5.785","5.758","0.35%"
"03-01-2020","5.758","5.779","5.779","5.724","-0.40%"
"02-01-2020","5.781","5.774","5.829","5.774","0.10%"
"01-01-2020","5.775","5.830","5.830","5.775","-0.02%"
"31-12-2019","5.776","5.863","5.863","5.776","-0.94%"
"30-12-2019","5.831","5.845","5.845","5.828","0.19%"
"27-12-2019","5.820","5.820","5.889","5.820","0.55%"
"26-12-2019","5.788","5.958","5.958","5.788","-0.36%"
"24-12-2019","5.809","5.856","5.856","5.809","-0.48%"
"23-12-2019","5.837","5.912","5.912","5.824","-0.70%"
"20-12-2019","5.878","5.960","5.960","5.858","1.01%"
"19-12-2019","5.819","5.826","5.826","5.789","0.57%"
"18-12-2019","5.786","5.860","5.860","5.786","-0.60%"
"17-12-2019","5.821","5.827","5.841","5.807","0.22%"
"16-12-2019","5.808","5.861","5.861","5.788","0.45%"
"13-12-2019","5.782","6.127","6.127","5.782","0.31%"
"12-12-2019","5.764","5.830","5.830","5.764","-0.02%"
"11-12-2019","5.765","5.798","5.798","5.765","0.33%"
"10-12-2019","5.746","5.726","5.832","5.722","0.35%"
"09-12-2019","5.726","5.733","5.766","5.726","-0.02%"
"06-12-2019","5.727","5.932","5.932","5.727","1.01%"
"05-12-2019","5.670","5.572","5.928","5.572","2.94%"
"04-12-2019","5.508","5.541","5.541","5.508","-0.15%"
"03-12-2019","5.516","5.542","5.640","5.516","-0.13%"
"02-12-2019","5.523","5.543","5.543","5.517","-0.02%"
"29-11-2019","5.524","5.531","5.544","5.524","0.16%"
"28-11-2019","5.515","5.547","5.547","5.515","-0.59%"
"27-11-2019","5.548","5.568","5.568","5.545","-0.14%"
"26-11-2019","5.556","5.569","5.569","5.543","-0.02%"
"25-11-2019","5.557","5.570","5.570","5.557","-0.02%"
"22-11-2019","5.558","5.603","5.603","5.558","-0.16%"
"21-11-2019","5.567","5.587","5.587","5.561","0.09%"
"20-11-2019","5.562","5.588","5.588","5.562","-0.48%"
"19-11-2019","5.589","5.589","5.601","5.589","-0.13%"
"18-11-2019","5.596","5.641","5.641","5.590","-0.02%"
"15-11-2019","5.597","5.629","5.629","5.597","-0.29%"
"14-11-2019","5.613","5.638","5.638","5.613","-0.69%"
"13-11-2019","5.652","5.689","5.689","5.652","0.11%"
"11-11-2019","5.646","5.690","5.690","5.646","-0.48%"
"08-11-2019","5.673","5.673","5.717","5.654","0.51%"
"07-11-2019","5.644","5.632","5.663","5.632","0.43%"
"06-11-2019","5.620","5.664","5.664","5.620","-0.90%"
"05-11-2019","5.671","5.634","5.727","5.634","0.87%"
"04-11-2019","5.622","5.666","5.666","5.622","0.09%"
"01-11-2019","5.617","5.667","5.667","5.617","0.18%"
"31-10-2019","5.607","5.669","5.669","5.607","-0.57%"
"30-10-2019","5.639","5.646","5.670","5.639","0.28%"
"29-10-2019","5.623","5.661","5.661","5.623","-0.25%"
"25-10-2019","5.637","5.655","5.661","5.637","-0.28%"
"24-10-2019","5.653","5.690","5.690","5.653","0.09%"
"23-10-2019","5.648","5.672","5.690","5.648","-0.34%"
"22-10-2019","5.667","5.851","5.851","5.661","-0.02%"
"18-10-2019","5.668","5.730","5.730","5.662","-0.60%"
"17-10-2019","5.702","5.708","5.732","5.693","0.42%"
"16-10-2019","5.678","5.733","5.763","5.678","-0.54%"
"15-10-2019","5.709","5.734","5.734","5.709","-0.12%"
"14-10-2019","5.716","5.752","5.752","5.716","-0.64%"
"11-10-2019","5.753","5.856","5.856","5.753","0.38%"
"10-10-2019","5.731","5.798","5.798","5.731","-0.02%"
"09-10-2019","5.732","5.768","5.768","5.729","-0.43%"
"07-10-2019","5.757","5.799","5.799","5.739","-0.43%"
"04-10-2019","5.782","5.723","5.860","5.723","0.68%"
"03-10-2019","5.743","5.862","5.862","5.737","-0.83%"
"01-10-2019","5.791","5.982","5.982","5.791","-0.03%"
"30-09-2019","5.793","5.911","5.911","5.793","-1.91%"
"27-09-2019","5.906","5.983","5.983","5.894","0.68%"
"26-09-2019","5.866","5.943","5.949","5.843","0.58%"
"25-09-2019","5.832","5.897","5.897","5.832","-0.41%"
"24-09-2019","5.856","6.015","6.015","5.820","1.74%"
"23-09-2019","5.756","5.809","5.898","5.756","0.49%"
"20-09-2019","5.728","5.751","6.051","5.728","-1.34%"
"19-09-2019","5.806","5.812","5.812","5.806","1.10%"
"18-09-2019","5.743","5.930","5.930","5.743","-1.51%"
"17-09-2019","5.831","6.018","6.018","5.831","1.00%"
"16-09-2019","5.773","6.165","6.165","5.773","-0.02%"
"13-09-2019","5.774","5.990","5.990","5.774","0.37%"
"12-09-2019","5.753","5.991","5.991","5.753","-0.12%"
"11-09-2019","5.760","5.875","5.875","5.760","-0.02%"
"09-09-2019","5.761","5.788","5.788","5.761","-0.31%"
"06-09-2019","5.779","5.797","5.814","5.762","0.05%"
"05-09-2019","5.776","5.822","5.822","5.776","-0.31%"
"04-09-2019","5.794","5.794","5.794","5.794","-0.31%"
"03-09-2019","5.812","5.812","5.812","5.794","-0.41%"
"30-08-2019","5.836","5.901","5.901","5.836","-0.09%"
"29-08-2019","5.841","5.841","5.841","5.841","-0.07%"
"28-08-2019","5.845","5.861","5.864","5.845","0.62%"
"27-08-2019","5.809","5.809","5.809","5.809","0.05%"
"26-08-2019","5.806","5.806","5.806","5.806","-1.58%"
"23-08-2019","5.899","5.899","5.899","5.899","0.07%"
"22-08-2019","5.895","5.895","5.895","5.895","0.27%"
"21-08-2019","5.879","5.879","5.879","5.879","0.38%"
"20-08-2019","5.857","5.857","5.857","5.857","-0.81%"
"19-08-2019","5.905","5.905","5.905","5.905","0.17%"
"16-08-2019","5.895","5.895","5.895","5.895","-1.42%"
"14-08-2019","5.980","5.980","5.980","5.980","0.76%"
"13-08-2019","5.935","5.935","5.935","5.935","0.46%"
"09-08-2019","5.908","5.908","5.908","5.908","0.24%"
"08-08-2019","5.894","5.894","5.894","5.894","-0.57%"
"07-08-2019","5.928","6.072","6.134","5.928","-1.10%"
"06-08-2019","5.994","5.994","6.000","5.994","-0.03%"
"05-08-2019","5.996","5.996","5.996","5.996","-0.25%"
"02-08-2019","6.011","5.980","6.011","5.977","-0.64%"
"01-08-2019","6.050","6.075","6.075","6.050","0.52%"
"31-07-2019","6.019","6.033","6.097","6.019","-0.38%"
"30-07-2019","6.042","6.078","6.078","6.039","0.00%"
"29-07-2019","6.042","6.099","6.099","6.042","-0.97%"
"26-07-2019","6.101","6.172","6.172","6.094","0.26%"
"25-07-2019","6.085","6.113","6.163","6.085","-0.15%"
"24-07-2019","6.094","6.108","6.108","6.087","0.31%"
"23-07-2019","6.075","6.110","6.110","6.075","0.10%"
"22-07-2019","6.069","6.147","6.147","6.069","0.20%"
"19-07-2019","6.057","6.149","6.149","6.043","-0.20%"
"18-07-2019","6.069","6.118","6.188","6.069","-0.48%"
"17-07-2019","6.098","6.084","6.168","6.084","-0.26%"
"16-07-2019","6.114","6.176","6.176","6.114","-0.70%"
"15-07-2019","6.157","6.178","6.178","6.153","-0.36%"
"12-07-2019","6.179","6.227","6.227","6.179","-0.16%"
"11-07-2019","6.189","6.231","6.231","6.189","-0.24%"
"10-07-2019","6.204","6.579","6.579","6.163","0.76%"
"09-07-2019","6.157","6.199","6.199","6.157","0.42%"
"08-07-2019","6.131","6.296","6.296","6.124","-0.58%"
"05-07-2019","6.167","6.235","6.256","6.167","-1.04%"
"04-07-2019","6.232","6.335","6.335","6.232","-0.24%"
"03-07-2019","6.247","6.240","6.301","6.240","-0.13%"
"02-07-2019","6.255","6.289","6.307","6.255","-0.45%"
"01-07-2019","6.283","6.344","6.344","6.283","-0.24%"
"28-06-2019","6.298","6.305","6.345","6.271","0.17%"
